Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2016-03-03,575.85,587.95,572.0,575.45,576.56,1070.0,84.0,616915.0,504.0,47.1,15.95,-0.4
2016-03-02,588.45,590.0,570.05,574.5,581.07,985.0,65.0,572354.0,608.0,61.73,19.95,-13.95
2016-03-01,557.0,584.0,557.0,576.75,575.57,1373.0,166.0,790262.0,918.0,66.86,27.0,19.75
2016-02-29,570.0,575.45,548.0,563.75,561.73,2687.0,219.0,1509374.0,1022.0,38.03,27.45,-6.25
2016-02-26,575.0,580.0,559.5,566.5,570.32,1943.0,275.0,1108129.0,1377.0,70.87,20.5,-8.5
2016-02-25,565.9,582.1,563.05,569.05,570.7,4294.0,142.0,2450590.0,3047.0,70.96,19.05,3.15
2016-02-24,580.65,587.85,558.1,560.1,567.25,2770.0,126.0,1571283.0,2210.0,79.78,29.75,-20.55
2016-02-23,601.0,601.0,575.15,577.9,585.8,925.0,112.0,541868.0,537.0,58.05,25.85,-23.1
2016-02-22,600.0,610.0,587.7,591.75,598.11,5937.0,277.0,3550977.0,3544.0,59.69,22.3,-8.25
2016-02-19,588.45,594.55,585.0,590.15,589.47,993.0,60.0,585339.0,636.0,64.05,9.55,1.7
2016-02-18,605.4,609.8,590.0,597.65,599.64,1474.0,95.0,883866.0,1036.0,70.28,19.8,-7.75
2016-02-17,599.35,600.65,581.0,597.9,591.74,2341.0,101.0,1385266.0,1491.0,63.69,19.65,-1.45
2016-02-16,610.0,610.0,572.2,586.0,586.33,2994.0,195.0,1755486.0,1653.0,55.21,37.8,-24.0
2016-02-15,609.0,624.0,605.75,616.2,612.45,1734.0,114.0,1061987.0,1110.0,64.01,18.25,7.2
2016-02-12,605.0,611.75,581.0,601.5,595.63,3569.0,258.0,2125819.0,2143.0,60.04,30.75,-3.5
2016-02-11,630.1,634.0,602.4,609.35,622.98,3927.0,259.0,2446434.0,2468.0,62.85,31.6,-20.75
